Category,Parameter,What It Controls,Associated Philosophy,0% (Minimum),100% (Maximum)
Incentive Structures,Profit Maximization,Economic motivation via personal gain,Capitalism/Libertarianism,No profit motive/gift economy,Pure profit/everything commodified
Incentive Structures,Collective Welfare,Economic motivation via group benefit,Socialism/Communism,Pure individualism,Total collectivism/no private property
Incentive Structures,Reputation-Based,Social status as incentive,Gift economy/Open source,Anonymous/no status tracking,Social credit system/total tracking
Resource Allocation,Central Planning,Government controls production/distribution,Communism/Command economy,Pure free market,Soviet-style Gosplan/state controls all
Resource Allocation,Market Freedom,Private actors decide via price signals,Capitalism/Free market,No markets allowed,Zero regulation/pure market
Wealth Distribution,Progressive Taxation,Tax rate increases with wealth,Social Democracy/Progressivism,Flat/no tax,Extreme progressive (90%+ top rate)
Wealth Distribution,Wealth Caps,Maximum allowed accumulation,Egalitarianism,No limits,Hard caps on personal wealth
Wealth Distribution,Inheritance,Intergenerational wealth transfer,Aristocracy vs Meritocracy,100% inheritance tax,No inheritance restrictions
Governance,Democratic Participation,Citizen input on decisions,Democracy,Dictatorship/zero input,Direct democracy/vote on everything
Governance,Centralization,Power concentration,Federalism vs Unitary,Total local autonomy,Complete central control
Governance,Meritocratic Sorting,Selection by competence,Technocracy/Singapore,Random/hereditary,Extreme testing/Chinese exam system
Social Control,Surveillance,State monitoring of citizens,Authoritarian/China,Total privacy,1984-style total surveillance
Social Control,Information Control,Censorship/propaganda,Authoritarianism,Free speech absolutism,Total information control
Social Control,Movement Restriction,Freedom to relocate,USSR/North Korea,Free movement,Internal passports/assigned residence
Reproduction,Selective Breeding,Genetic control of population,Eugenics/Sparta,Free reproduction,Mandatory genetic selection/Gattaca
Reproduction,Child-Rearing Control,Who raises children,Sparta/Kibbutz,Pure family,Total state child-rearing
Resource Management,Military Focus,% resources to defense,Militarism/Sparta,Pacifism/zero military,Total militarization
Resource Management,Environmental Protection,Regulation of externalities,Environmentalism,Zero regulation,Ecotopia-style total protection
Resource Management,Infrastructure Investment Horizon,Long-term vs short-term planning,Roman Empire,No planning beyond quarterly,Multi-generational projects
